,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
76,107,110,2.23606797749979,Lit,Prt,72.140831758034,72.0505456634118,71.975037559228,71.57436073844742,71.9351939297803,0.046845261408930416,0.21643766171563214,7
77,108,111,2.23606797749979,Lit,Alb,86.38447020760309,81.1308349769888,83.68700265251981,84.7325158334456,83.98370591763933,3.6378227243789603,1.9073077162269754,7
78,109,112,2.23606797749979,Arm,Ltv,42.13409290096406,41.03495233772128,44.52979260397234,49.574588769143006,44.31835665295017,10.806108314046448,3.2872645640481157,7
79,110,113,2.23606797749979,Bsq,Sln,73.84650788171669,74.53022413402759,74.04159640247329,74.20062334064409,74.1547379397154,0.06272553206020881,0.2504506579352684,7
80,111,114,2.23606797749979,Lit,Hng,80.66398390342049,79.472081218274,80.6390414378432,81.91510762422041,80.67255354593952,0.7465677367762781,0.8640415133408106,7
81,112,115,2.23606797749979,Bsq,Pol,76.05974969721429,72.3582925122463,73.09533306741119,73.9160223157482,73.85734939815498,1.9204625060164748,1.385807528488886,7
82,113,116,2.23606797749979,Lit,Fin,78.22061191626399,78.3046410953387,79.18547497241441,76.17620617320941,77.97173353930663,1.2174636690566825,1.1033873612909848,7
83,114,117,2.23606797749979,Est,Bsq,54.2430780294857,55.6869066809958,55.19266708196129,54.6061786807681,54.932207618302726,0.30465106643304574,0.551952050845946,7
84,115,118,2.23606797749979,Est,Blg,77.90525536639521,78.2711988304093,79.2988472897018,79.8938894987193,78.8422977463064,0.6296212732014633,0.7934867819954302,7
85,116,119,2.23606797749979,Est,SCr,51.08758869373029,47.918902802623705,47.93213149522,44.3894389438943,47.832015483867075,5.616915695059986,2.370003311191777,7
86,117,120,2.23606797749979,Est,Lit,75.42139473394292,77.0622207693145,75.578970475249,74.1084936243786,75.54276990072124,1.095480447913679,1.0466520185399153,7
87,118,121,2.23606797749979,Est,Ltv,68.557817236899,68.28003457216899,69.5500218435998,70.17696232765171,69.14120899507988,0.5804700603094761,0.7618858577959536,7
