,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
117,148,264,2.6457513110645907,Tat,Hng,72.609173578495,72.2316865417376,72.42206235011899,73.82123821238208,72.77104017068342,0.3854511441893306,0.6208471182097333,5
118,149,265,2.6457513110645907,Grg,It,57.527949012642296,60.4330090994665,71.25464300453979,69.0151120375195,64.55767828854202,32.787010411398256,5.725994272735369,5
119,150,266,2.6457513110645907,Tat,Cz,68.10207336523119,67.66407340913621,68.14560855097301,71.96437407224141,68.96903234939546,3.0261586261039763,1.739585762790664,5
120,151,267,2.6457513110645907,Spn,Rus,46.70388662228902,54.101947057536606,42.330304649919796,56.7134043746494,49.962385676098705,32.894674693177976,5.735387928743615,5
121,152,268,2.6457513110645907,Tat,Swd,68.48274365096589,75.42107917297021,73.50769879772191,72.1231587108206,72.38367008311965,6.443596933632562,2.5384241043672278,5
122,153,269,2.6457513110645907,Grg,Hng,64.8337208126958,69.7902813299232,72.8568519649765,70.4445530043966,69.48135177799803,8.504417293129048,2.916233408547582,5
123,154,270,2.6457513110645907,Spn,Bsq,68.0883185506699,69.45481702763249,69.45042599007579,66.40170071171079,68.34881557002224,1.5739749275888055,1.254581574704812,5
124,155,271,2.6457513110645907,Wel,Rus,55.568581477139,48.26657691013121,55.181197174945,48.26259196378041,51.819736881498905,12.657869213613715,3.5577899338794183,5
125,156,272,2.6457513110645907,Dut,Fin,82.40301828383471,80.38736183116501,82.1324782042288,83.92749244712991,82.2125876915896,1.5787572756413706,1.256486082549811,5
126,157,273,2.6457513110645907,Grg,Spn,64.38979963570121,66.8586568367699,64.4690315957568,66.1503416856491,65.46695743846925,1.1399915410353414,1.0677038639226428,5
127,158,274,2.6457513110645907,Wel,Ltv,64.3559125013209,63.18692976872479,66.7860151642796,66.3187047294418,65.16189054094178,2.1315176277485635,1.459971790052316,5
128,159,275,2.6457513110645907,Dut,Brt,80.6597331652484,76.760637736247,78.2007634375322,78.2645235844101,78.47141448085942,1.9578878911600675,1.3992454720884637,5
129,160,276,2.6457513110645907,Dut,Ukr,73.1847003477193,66.4401359184489,76.36154067812801,77.5497887748943,73.38404142979762,18.619128333632823,4.314988798784166,5
130,161,277,2.6457513110645907,Arm,Rom,37.867520878618,39.34203062960862,39.840273816314884,41.38636363636359,39.609047240226275,1.579132809997621,1.2566355119912938,5
131,162,278,2.6457513110645907,Prt,Rus,56.78819056139561,62.63785730362359,57.5943810359964,65.0359378622768,60.5140916908231,11.841130677645477,3.441094401152848,5
132,163,279,2.6457513110645907,Fin,Rom,48.31964969896,44.088134891900204,46.21029698429071,47.13995026000451,46.43950795878885,2.4017613377464486,1.549761703535885,5
133,164,280,2.6457513110645907,Trk,Lit,79.0290401241409,81.51627703736072,80.62430323299878,79.38074938299302,80.13759244437335,0.9848395662393603,0.9923908334115951,5
134,165,281,2.6457513110645907,Eng,Cz,80.37754595131639,78.105345911949,80.215686274509,79.17538093815351,79.46848976898198,0.832189930547145,0.9122444467066626,5
135,166,282,2.6457513110645907,Tat,Nor,74.51841501147801,78.05876932526999,74.045254428176,77.20291026677441,75.95633725792462,2.9235057082952567,1.7098262216655986,5
136,167,283,2.6457513110645907,Wel,Lit,76.97244660838771,77.565478746243,77.53005464480871,76.43284393692221,77.12520598409041,0.21511079360072377,0.4638003811994162,5
137,168,284,2.6457513110645907,Spn,Grg,65.9427855502192,67.52844989503922,63.600823045267,64.9636596836254,65.5089295435377,2.0512207783835215,1.432208357182544,5
138,169,347,3.1622776601683795,Alb,Trk,76.126224156692,77.6675749318801,76.7150179954193,76.221783914091,76.6826502495206,0.3732830192020798,0.6109689183600748,2
139,170,348,3.1622776601683795,Tat,Eng,54.2530157748221,49.6680748340374,48.831274880065315,52.1623283459725,51.22867345872433,4.550336476438259,2.133151770605706,2
140,171,349,3.1622776601683795,Tat,Grk,64.6462395543175,66.7826086956521,66.59077973819,66.1797752808988,66.0498508172646,0.7041357873887599,0.8391279922566998,2
141,172,350,3.1622776601683795,Grg,Fr,67.553893532776,67.58453574182171,62.8521319741313,61.06003858812839,64.76264995921436,8.278372498412905,2.8772161021398626,2
142,173,351,3.1622776601683795,Fin,Grm,74.79674796747958,74.76674269127092,76.1138744840723,73.3179584879173,74.74883090768502,0.9783391809246744,0.9891102976537421,2
